"state","city","neighbourhood","lat","lng"
"Norte de Santander","Cúcuta","SECTOR SALADO",7.9251784,-72.5004865
"La Guajira","Riohacha","SEDE",11.5445117,-72.9091765
"Atlántico","Soledad","SELENE",10.8890482,-74.8178134
"Valle del Cauca","Cali","SEMBRADOR",3.4694519,-76.4706203
"Nariño","Nariño","SEMINARIO",1.1476391,-77.45578555
"Atlántico","Manatí","SENA",10.909323,-74.86058955
"Norte de Santander","Villa del Rosario","SENDERO DE PAZ",7.8193077,-72.4710617
"Norte de Santander","Villa del Rosario","SENDEROS DE PAZ",7.84241825,-72.4718051
"Nariño","Nariño","SENDOYA",1.2014906,-77.268326
"Cundinamarca","Bogotá D.C.","SERRO NORTE",4.7333923,-74.0189955
