"state","city","neighbourhood","lat","lng"
"Nariño","Nariño","SAN FELIPE",1.14247,-77.4007
"Valle del Cauca","Cali","SAN FERNANDO",3.4278082,-76.5415978
"Bolivar","Cartagena","SAN FERNANDO",10.37824,-75.4778021
"Antioquia","Medellín","SAN FERNANDO",6.20378685,-75.5873438
"Nariño","Nariño","SAN FERNANDO",1.20332,-77.22509
"Magdalena","Santa Marta","SAN FERNANDO",11.2319532,-74.22312065
"Santander","Bucaramanga","SAN FRACISCO",7.1311741,-73.12437285
"Cundinamarca","Bogotá D.C.","SAN FRANCISCO",4.56290705,-74.1470948
"Santander","Bucaramanga","SAN FRANCISCO",7.1318628,-73.1237799
"Bolivar","Cartagena","SAN FRANCISCO",10.4350059,-75.5152955
"La Guajira","Maicao","SAN FRANCISCO",11.3766253,-72.2590062
"Nariño","Nariño","SAN FRANCISCO",0.91813,-77.5419299
"Cundinamarca","Bogotá D.C.","SAN FRANSISCO",4.6025927,-74.07769745
"Santander","Bucaramanga","SAN FRANSISCO",7.1311426,-73.1241867
"Cundinamarca","Bogotá D.C.","SAN GABRIEL",4.62051325,-74.11779195
"Antioquia","Medellín","SAN GABRIEL",6.1710014,-75.6375384
"Santander","Bucaramanga","SAN GERARDO I",7.10223725,-73.1197366
"Santander","Bucaramanga","SAN GERARDO",7.1017849,-73.1201817
"Cundinamarca","Bogotá D.C.","SAN GERMÁN",4.672924,-74.0728404
"Antioquia","Medellín","SAN GERMAN",6.2683398,-75.5873438
"Antioquia","Medellín","SAN GERMÁN",6.2683398,-75.5873438
"Norte de Santander","Cúcuta","SAN GREGORIO",7.8865877,-72.49225275
"Norte de Santander","Villa del Rosario","SAN GREGORIO",7.8372266,-72.4759943
"Santander","Bucaramanga","SAN HERALDO",7.11743525,-73.1204995
"Cundinamarca","Soacha","SAN HUMBERTO",4.5764082,-74.2143087
"Cundinamarca","Bogotá D.C.","SAN IGNACIO",4.67432975,-74.1126618
"Santander","Bucaramanga","SAN IGNACIO",7.1493995,-73.1462052
"Nariño","Nariño","SAN IGNACIO",1.2897467,-77.3580033
"Cundinamarca","Bogotá D.C.","SAN ISABEL",4.5991383,-74.1021974
"Atlántico","Barranquilla","SAN ISIDRO",10.9702548,-74.7958767
"Cundinamarca","Bogotá D.C.","SAN ISIDRO",4.5804495,-74.10025005
"Bolivar","Cartagena","SAN ISIDRO",10.3982677,-75.5120198
"Norte de Santander","Cúcuta","SAN ISIDRO",7.88375635,-72.5099474
"Nariño","Nariño","SAN ISIDRO",1.01675,-77.56665
"Cundinamarca","Soacha","SAN ISIDRO",4.5902909,-74.182345
"Bolivar","Cartagena","SAN JACINTO",10.4235894,-75.5353125
"Antioquia","Medellín","SAN JAVIER 2",6.2580719,-75.612807
"Antioquia","Medellín","SAN JAVIER LA LOMA",6.2709561,-75.6303194
"Antioquia","Medellín","SAN JAVIER",6.2556509,-75.6186265
"Cundinamarca","Bogotá D.C.","SAN JOAQUIN",4.6782122,-74.09734975
"Cundinamarca","Bogotá D.C.","SAN JOAQUÍN",4.6782122,-74.09780015
"Cundinamarca","Bogotá D.C.","SAN JORGE",4.71598735,-74.0880256
"Valle del Cauca","Cali","SAN JORGE",3.4470019,-76.529264
"Magdalena","Santa Marta","SAN JORGE",11.2542264,-74.1997152
"Bolivar","Cartagena","SAN JOSÉ DE LOS CAMPANOS",10.384401,-75.45914735
"Nariño","Nariño","SAN JOSÉ DE PINZÓN",1.1996406,-77.3790696
"Bolivar","Cartagena","SAN JOSÉ LOS CAMPANOS",10.384401,-75.45914735
"Cundinamarca","Bogotá D.C.","SAN JOSÉ OBRERO",4.579452,-74.1025319
"Cundinamarca","Bogotá D.C.","SAN JOSÉ RONDON",4.5639723,-74.1522321
"Atlántico","Barranquilla","SAN JOSE",10.9598505,-74.7936828
"Atlántico","Barranquilla","SAN JOSÉ",10.9598505,-74.7936828
"Cundinamarca","Bogotá D.C.","SAN JOSE",4.58020455,-74.09878575
"Cundinamarca","Bogotá D.C.","SAN JOSÉ",4.58052825,-74.09511955
"Bolivar","Cartagena","SAN JOSE",10.38468195,-75.46163065
"Bolivar","Cartagena","SAN JOSÉ",10.3864455,-75.4613265
"Norte de Santander","Cúcuta","SAN JOSÉ",7.8796779,-72.5167854
"La Guajira","Maicao","SAN JOSE",11.3775019,-72.24322905
"La Guajira","Maicao","SAN JOSÉ",11.37737405,-72.24322905
"Antioquia","Medellín","SAN JOSÉ",6.24777995,-75.56483875
"Nariño","Nariño","SAN JOSÉ",1.4728684,-77.067959
"Atlántico","Otros","SAN JOSE",4.64415735,-74.06568675
"Magdalena","Santa Marta","SAN JOSE",11.24165365,-74.1990277
"Magdalena","Santa Marta","SAN JOSÉ",11.2417031,-74.1989045
"Norte de Santander","Villa del Rosario","SAN JOSÉ",7.8782252,-72.47707655
"Magdalena","Santa Marta","SAN JUAN 5",11.2403547,-74.21182
"Nariño","Nariño","SAN JUAN BOSCO",1.2066163,-77.27776455
"Nariño","Nariño","SAN JUAN DE LOS PASTOR",1.2058837,-77.285787
"Arauca","Arauca","SAN JUAN",4.682053,-74.13724875
"Santander","Bucaramanga","SAN JUAN",7.1053606,-73.1279197
"Nariño","Nariño","SAN JUAN",0.8929634,-77.5478484
"Magdalena","Santa Marta","SAN JUAN",11.32864,-73.96451
"Cundinamarca","Bogotá D.C.","SAN JUANITO",4.84621895,-74.00513665
"Cundinamarca","Bogotá D.C.","SAN JUAQUIN",4.67648305,-74.09769495
"La Guajira","Riohacha","SAN JUDAS TADEO",11.53945925,-72.91074045
"Norte de Santander","Villa del Rosario","SAN JUDAS TADEO",7.8204155,-72.4741078
"Valle del Cauca","Cali","SAN JUDAS",3.4097465,-76.5249781
"Nariño","Nariño","SAN JUDAS",1.2302183,-77.29387565
"Santander","Bucaramanga","SAN LORENSO",7.0822603,-73.11756055
"Cundinamarca","Bogotá D.C.","SAN LORENZO",4.71574175,-74.14072235
"Antioquia","Medellín","SAN LORENZO",6.22889285,-75.57004475
"Valle del Cauca","Cali","SAN LUIS 2",3.4891723,-76.4888408
"Valle del Cauca","Cali","SAN LUIS II",3.4891723,-76.4888408
"Arauca","Arauca","SAN LUIS",6.9504,-70.10522
"Atlántico","Barranquilla","SAN LUIS",10.9402468,-74.8265873
"Cundinamarca","Bogotá D.C.","SAN LUIS",4.6679354,-74.0211989
"Santander","Bucaramanga","SAN LUIS",7.09438115,-73.1177824
"Valle del Cauca","Cali","SAN LUIS",3.4811407,-76.4866723
"Norte de Santander","Cúcuta","SAN LUIS",7.8932826,-72.483507
"Nariño","Nariño","SAN LUIS",4.59547245,-74.10060975
"Cundinamarca","Soacha","SAN LUIS",4.5826239,-74.2157135
"Valle del Cauca","Cali","SAN LUISITO",3.4891723,-76.4888408
"Cundinamarca","Soacha","SAN MARCOS",4.577092,-74.2186663
"Valle del Cauca","Cali","SAN MARINO",3.4596195,-76.4873951
