"","state","lat","lng"
"1","Arauca",7.0905241,-70.7754016
"2","Antioquia",6.2476376,-75.5658153
"3","Atlántico",10.9622563,-74.8069813
"4","Cundinamarca",4.6246556,-74.1027469
"5","Bolivar",10.3932277,-75.4832311
"6","Santander",7.119349,-73.1227416
"7","Valle del Cauca",3.44777565,-76.53221775
"8","Norte de Santander",7.8437879,-72.4966896
"9","La Guajira",11.5384151,-72.9167838
"10","Nariño",1.2897467,-77.3580033
"11","Magdalena",11.2403547,-74.2110227
